ROTT,ROTT_min,ROTT_mean,ROTT_dev,ROTT_ROTT_mean,ROTT_ROTT_max,ROTT_ROTT_min,ROTT_min_mean,ROTT_ROTT_mean_dev,ROTT_ROTT_mean_dev2,IAT,IATmin,IATmax,IATmean,IAT与最小值比,IAT与最大值比,IAT与平均值比,IAT最小比平均,临近IAT比值,Numrec,Numloss,丢包类别
0.00383,0.0038,0.00381,0.00002,1.005124,0.916268,1.007895,0.997250687,1.0103,1.007705,0.00127,0.0008,0.0016,0.0015529,1.5875,0.79375,0.8178106,0.5151563,0.79375,42,1,-1
0.00383,0.0038,0.003801,0.000029,1.007661,1,1.007895,0.999767856,1.01544,1.011535,0.00131,0.00131,0.0016,0.0015912,1,0.81875,0.8232718,0.8232718,0.81875,34,1,-1
0.00384,0.0038,0.003801,0.000039,1.010214,1,1.010526,0.999690498,1.020638,1.015399,0.00138,0.00138,0.0016,0.0015933,1,0.8625,0.8661088,0.8661088,0.8625,34,2,-1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,0,2,1,1
0.00527,0.0038,0.003874,0.001396,1.360439,1,1.386842,0.980961601,2.127144,1.659516,0.0008,0.0008,0.0016,0.0015442,1,0.5,0.5180698,0.5180698,0.9638554,32,1,-1
0.00383,0.0038,0.003801,0.000029,1.007646,1,1.007895,0.99975335,1.01541,1.011513,0.00153,0.00153,0.0016,0.0015977,1,0.95625,0.9576015,0.9576015,0.95625,32,1,1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,34,1,-1
0.0038,0.0038,0.003801,-0.000001,0.999803,0.992167,1,0.999802671,0.999605,0.999704,0.0016,0.00157,0.0016,0.0015992,1.0191083,1,1.000481,0.981722,1,40,1,1
0.0038,0.0038,0.003813,-0.000013,0.996555,0.855856,1,0.996554739,0.993133,0.994841,0.0016,0.0008,0.0016,0.001568,2,1,1.0204082,0.5102041,1,51,2,-1
0.0038,0.0038,0.003802,-0.000002,0.999536,0.984456,1,0.999535819,0.999072,0.999304,0.0016,0.00154,0.0016,0.0015982,1.038961,1,1.0011377,0.963595,1,34,1,-1
0.0038,0.0038,0.003801,-0.000001,0.999862,0.992167,1,0.999861515,0.999723,0.999792,0.0016,0.00157,0.0016,0.0015995,1.0191083,1,1.0003349,0.9815787,1,57,1,1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,53,1,1
0.00527,0.0038,0.003821,0.001449,1.379243,1,1.386842,0.994520909,2.221875,1.701975,0.00083,0.0008,0.0016,0.0015772,1.0375,0.51875,0.5262336,0.5072131,1,139,2,-1
0.00437,0.0038,0.003818,0.000552,1.144635,1,1.15,0.99533437,1.338182,1.233864,0.00083,0.00083,0.0016,0.0015752,1,0.51875,0.5269302,0.5269302,0.51875,32,3,-1
0.00466,0.0038,0.003876,0.000784,1.202216,0.917323,1.226316,0.980347523,1.506943,1.337441,0.0008,0.0008,0.0016,0.0015291,1,0.5,0.5231867,0.5231867,0.9638554,34,2,-1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,29,1,1
0.00408,0.00383,0.00401,0.00007,1.017456,0.990291,1.065274,0.955112219,1.035533,1.026415,0.00083,0.0008,0.00083,0.000815,1.0375,1,1.0184049,0.9815951,1.0375,3,2,-1
0.00396,0.0038,0.003805,0.000155,1.040692,1,1.042105,0.998643608,1.084836,1.062305,0.00083,0.00083,0.0016,0.0015743,1,0.51875,0.5272073,0.5272073,0.51875,31,1,-1
0.0039,0.0038,0.00385,0.00005,1.012987,1,1.026316,0.987012987,1.026316,1.019608,0.00083,0.00083,0.00083,0.00083,1,1,1,1,0,2,1,-1
0.00383,0.0038,0.003801,0.000029,1.007646,1,1.007895,0.99975335,1.01541,1.011513,0.00085,0.00085,0.0016,0.0015758,1,0.53125,0.5394063,0.5394063,0.53125,32,1,-1
0.00383,0.0038,0.003801,0.000029,1.007661,1,1.007895,0.999767856,1.01544,1.011535,0.00095,0.00095,0.0016,0.0015803,1,0.59375,0.6011505,0.6011505,0.59375,34,2,-1
0.00383,0.0038,0.003801,0.000029,1.007654,1,1.007895,0.999760823,1.015425,1.011525,0.00099,0.00099,0.0016,0.0015809,1,0.61875,0.6262107,0.6262107,0.61875,33,1,-1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,31,1,1
0.0038,0.0038,0.003878,-0.000077,0.980013,0.931373,1,0.980012895,0.960809,0.970316,0.00132,0.0008,0.00132,0.0010667,1.65,1,1.2375,0.75,1.65,4,1,1
